ICAO,Latitude,Longitude
ESMO,57.3504981995,16.4979991913
ESMP,57.2641983032,13.5993995667
ESMQ,56.6855010986,16.2875995636
ESMS,55.536305364,13.3761978149
ESMT,56.6911010742,12.8201999664
ESMV,57.2921981812,14.1372003555
ESMX,56.9291000366,14.7279996872
ESNA,63.7383003235,15.4582996368
ESNC,62.4089012146,13.7472000122
ESND,62.0477981567,14.4229001999
ESNG,67.1324005127,20.8145999908
ESNH,61.7681007385,17.0806999207
ESNJ,66.4962005615,20.1471996307
ESNK,63.0485992432,17.7688999176
ESNL,64.5483016968,18.7161998749
ESNM,63.1286010742,14.8028001785
ESNN,62.5280990601,17.4438991547
ESNO,63.4082984924,18.9899997711
ESNP,65.3983001709,21.260799408
ESNQ,67.8219985962,20.3367996216
ESNR,61.1899986267,14.7125997543
ESNS,64.6248016357,21.0769004822
ESNT,62.4814,17.002899
ESNU,63.7918014526,20.2828006744
ESNV,64.5791015625,16.8335990906
ESNX,65.5903015137,19.2819004059
ESOE,59.2237014771,15.0380001068
ESOW,59.5894012451,16.633600235
ESPA,65.543800354,22.1219997406
ESPE,65.8752975464,20.1499004364
ESQO,59.3866004944,15.9240999222
ESSA,59.6519012451,17.9186000824
ESSB,59.3544006348,17.9416999817
ESSD,60.422000885,15.5151996613
ESSF,57.5257987976,15.8233003616
ESSK,60.5932998657,16.9514007568
ESSL,58.4062004089,15.6805000305
ESSP,58.5862998962,16.2506008148
ESSU,59.3511009216,16.7084007263
ESSV,57.6627998352,18.346200943
ESUK,67.7648010254,20.2572002411
ETAD,49.9726982117,6.6925001144
ETAR,49.4369010925,7.600279808
ETEU,49.6481018066,9.9664897919
ETHB,52.2785,9.08217
